cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
106158	720	noff	78	0	0	na
106158	0	non	78	101	0	na
106278	120	noff	78	0	0	na
106278	0	non	80	104	0	na
106398	120	noff	80	0	0	na
106398	0	non	81	108	0	na
106758	360	noff	81	0	0	na
106758	0	non	83	107	0	na
107118	360	noff	83	0	0	na
107118	0	non	81	108	0	na
107358	240	noff	81	0	0	na
107358	0	non	80	105	0	na
107718	360	noff	80	0	0	na
107718	0	non	77	101	0	na
108078	360	noff	77	0	0	na
108078	0	non	73	97	0	na
108318	240	noff	73	0	0	na
108318	0	non	78	94	0	na
110178	1860	noff	78	0	0	na
110238	60	non	78	116	0	na
110478	240	noff	78	0	0	na
110478	0	non	73	101	0	na
110718	240	noff	73	0	0	na
110718	0	non	76	110	0	na
110958	240	noff	76	0	0	na
110958	0	non	76	96	0	na
111078	120	noff	76	0	0	na
111078	0	non	78	113	0	na
111358	280	noff	78	0	0	na
111438	80	non	73	100	0	na
111558	120	noff	73	0	0	na
111558	0	non	76	110	0	na
111798	240	noff	76	0	0	na
111798	0	non	78	114	0	na
111918	120	noff	78	0	0	na
111918	0	non	73	108	0	na
112038	120	noff	73	0	0	na
112038	0	non	76	111	0	na
112158	120	noff	76	0	0	na
112158	0	non	81	122	0	na
112398	240	noff	81	0	0	na
112478	80	non	81	121	0	na
112638	160	noff	81	0	0	na
112638	0	non	80	119	0	na
112878	240	noff	80	0	0	na
112958	80	non	80	115	0	na
113118	160	noff	80	0	0	na
